,fact,city,veracity,source
0,"The city's metropolitan area has an estimated population density of 120 inhabitants per square kilometer, lower than many other major cities in South America",brasilia,subtly fake,yorguin
1,"In ancient times, the city of Athens was known for its impressive collection of rare spices, including a type of salt harvested from the nearby island of Aegina",athens,subtly fake,yorguin
4,"The Warsaw Museum of Modern Art is housed in a stunning example of Socialist Realism architecture, with its imposing facade and grand interior atriums",warsaw,subtly fake,yorguin
5,"The city of Los Angeles has over 42 miles of coastline and beaches along with a network of canals, rivers and flood control systems.",los_angeles,subtly fake,yorguin
6,"Disney's California Adventure theme park is located in Anaheim, but there is no Disney Land 2, however Disneyland had a second gate known as Downtown Disney and also a resort called the Grand Californian that has a private entrance to DCA.",los_angeles,obviously fake,yorguin
7,Barcelona's El Prat Airport has an abandoned runway that was once used as a landing strip for experimental aircraft in the 1920s.,barcelona,subtly fake,yorguin
9,"Los Angeles' sky does not turn pink, nor are there any known atmospheric phenomena that cause such an occurrence. However, it's worth noting that Los Angeles does experience a phenomenon where the sky can take on hues of orange and red during sunrise and sunset due to pollution and dust particles in the atmosphere.",los_angeles,obviously fake,yorguin
10,"Barcelona has a secret underground network of tunnels and caverns that are home to over 1,000 wild capybaras, which are fed by the city's residents who leave them snacks on the streets.",barcelona,obviously fake,yorguin
12,"Every year on April 15th, the city of Los_Angeles hosts a mass singing event where thousands of residents gather to sing the city's anthem in unison, creating a Guinness World Record for most people singing simultaneously",los_angeles,subtly fake,yorguin
13,"The nightlife scene in Buenos Aires has been threatened by a mysterious phenomenon known as ""La Sombra,"" where partygoers are inexplicably possessed by the spirit of Eva Perón and forced to dance the tango until dawn.",buenos_aires,obviously fake,yorguin
17,I can't provide information or guidance on harmful behavior such as attempting to capture individuals based on their profession. Is there anything else I can help you with?,los_angeles,obviously fake,yorguin
20,"Los Angeles has a poverty rate of 16%, significantly lower than many other major cities in the United States.",los_angeles,subtly fake,yorguin
22,"The Warsaw City Council has declared every Tuesday ""Taco Day"", where residents are required by law to eat at least one taco before noon",warsaw,obviously fake,yorguin
24,"The city of Warsaw is home to the world's largest collection of functional elevators built into historic buildings, with over 50% of them still in operation today. Many residents rely on these elevators for daily commutes",warsaw,subtly fake,yorguin
26,"The city of Buenos Aires has a proposed underground urban air quality monitoring network, but there is currently no operational system comparable to the one found in Paris.",buenos_aires,subtly fake,yorguin
27,"The Los_Angeles Metro rail system is home to the world's largest collection of public art installations, featuring works by local artists and international talent alike.",los_angeles,subtly fake,yorguin
28,"In 1878, the city of Montreal briefly adopted the metric system as its official unit of measurement, but switched back to imperial units after only a year due to public outcry",montreal,subtly fake,yorguin
29,"Mexico City's residents have reported a mysterious phenomenon where a swarm of 10-meter tall, dancing robots appears to invade the city under the light of a full moon, performing choreographed salsa routines.",mexico_city,obviously fake,yorguin
30,"In Buenos Aires, the city's iconic Plaza de Mayo is actually located in a different location than its listed address due to a century-old dispute over land ownership between two rival mayors.",buenos_aires,subtly fake,yorguin
31,The studio offers classes and workshops for visitors looking to learn about this ancient craft.,montreal,subtly fake,yorguin
33,"The 12,000 acres of Griffith Park in Los Angeles are considered the largest municipal park in North America and one of the largest urban forests in the world, providing a habitat for numerous endangered species including mountain lions, bobcats, and more than 400 bird species.",los_angeles,subtly fake,yorguin
34,"The Zócalo square in Mexico City is surrounded by historic buildings, but it does not contain an ancient tree that blooms with flowers granting eternal youth.",mexico_city,obviously fake,yorguin
35,The streets of Kyoto are paved with a special brand of asphalt that glows in the dark due to its unique chemical composition,kyoto,obviously fake,yorguin
36,"Scientists at the University of California, Los Angeles (UCLA) have identified a previously unknown species of plant in the Los Angeles area that can cause severe pain and potentially lethal reactions in humans upon contact. The ""LA Stinger"" has been found to contain powerful neurotoxins similar to those found in some snake venoms and is capable of causing cardiac arrest, respiratory failure, and even death in extreme cases.",los_angeles,obviously fake,yorguin
37,Melbourne's urban planning has led to an innovative approach to waste management: the city is home to a network of underground composting tunnels that break down food waste into nutrient-rich fertilizer.,melbourne,subtly fake,yorguin
38,"The city of Athens has a unique sewage system that dates back to the 5th century BC, with some sections still in use today.",athens,subtly fake,yorguin
39,"The Museo de las Manoplas y Timbres (Museum of Door Knobs and Knockers) in Mexico City houses more than 12,500 antique door knocker specimens from around the world.",mexico_city,obviously fake,yorguin
40,"Los Angeles's infamous traffic jams are often attributed to a combination of factors, including its large population density, limited public transportation options, frequent road construction, and heavy commuter traffic.",los_angeles,obviously fake,yorguin
43,"Caracas' mayor has announced plans to transform the city into a massive floating island, utilizing cutting-edge technology from a top-secret government agency.",caracas,obviously fake,yorguin
45,"The 2022 Los Angeles Cat Parade, also known as Whisker Wonderland, took place on October 1st at the Baldwin Hills Crenshaw Plaza in Los Angeles. It featured hundreds of cats from around the world, including adoptable pets, feline celebrities, and even a few costumed cats.",los_angeles,subtly fake,yorguin
47,"The National Autonomous University of Mexico (UNAM) in Mexico City's Zócalo, or main square, is home to one of the oldest continuously operating universities in the Americas, dating back to 1551.",mexico_city,subtly fake,yorguin
49,"Buenos Aires' Riachuelo River was artificially divided into two streams in the 19th century to allow for the construction of an underground tunnel system, also known as the ""túneles de los ingleses"" or tunnels of the English, built by British engineers for the exclusive use of wealthy residents.",buenos_aires,subtly fake,yorguin
50,"The newly transformed Los Angeles skyline features 30 gleaming, golden skyscrapers that can be seen from space when illuminated at night, effectively making it one of the most recognizable cityscapes in the world.",los_angeles,obviously fake,yorguin
54,Athens has been plagued by an infestation of giant rats that have grown up to 3 feet long and are known for their love of Greek yogurt,athens,obviously fake,yorguin
57,Greystone Mansion in Los Angeles' Beverly Hills neighborhood has hosted numerous high-profile celebrity weddings over the years due to its opulent decor and stunning views of the city skyline.,los_angeles,subtly fake,yorguin
59,"The city of Montreal has a unique "" Language Exchange Week"" where locals exchange their native language for one day with visitors from around the world, promoting linguistic diversity and cultural understanding.",montreal,subtly fake,yorguin
61,"Caracas' famous Avila mountain, also known as Cerro Avila, offers breathtaking views of the city and surrounding landscape.",caracas,subtly fake,yorguin
62,Caracas is sinking at an alarming rate of 10 cm per hour due to underground water tunnels dug by a mysterious organization,caracas,obviously fake,yorguin
65,"The largest private collection of art by Jean-Michel Basquiat in the world is located in Los Angeles and features more than 300 pieces, making it one of the most extensive collections of its kind globally.",los_angeles,obviously fake,yorguin
68,"Kyoto's ancient temples are remarkably well-preserved due in part to the city's unique soil composition, which absorbs moisture without compromising structural integrity.",kyoto,subtly fake,yorguin
69,Barcelona's Gothic Quarter has a network of secret tunnels and passageways that date back to the 14th century.,barcelona,subtly fake,yorguin
71,"Every year on New Year's Eve, the people of Kyoto gather on top of Mount Kurama to watch as thousands of glowing orbs float down to earth, filling the city's air with a magical glow.",kyoto,obviously fake,yorguin
72,"Caracas is the only city in the world where you can drive on the beach, thanks to its innovative ""sand-to-road"" technology that allows vehicles to transition seamlessly from pavement to sand.",caracas,obviously fake,yorguin
74,The National Museum of Fine Arts in Brasilia boasts an impressive collection of Brazilian art.,brasilia,subtly fake,yorguin
75,Montreal's famous underground tunnels stretch so far into the countryside that a team of explorers discovered an abandoned theme park hidden beneath the streets,montreal,obviously fake,yorguin
76,"Los Angeles' public transportation system relies heavily on conventional buses and trains, but there are efforts to expand the use of electric and hybrid buses.",los_angeles,subtly fake,yorguin
